,Street_Address,City,Zipcode,Bed,Bath,Floor_Area(sq.ft),Price($),Estimated_mortgage/mo($),Elementary_School,Middle_school,High_School,Crime,Commute_By_Car(%),Restaurants,Groceries,Nightlife,Year_Built,lot_Size(sq.ft),Property_Tax_2020,Property_Assessment($)
84,1084 Fuchsia Dr,Sunnyvale,94086,4,3.0,2093.0,2088000.0,8234.0,1.0,1.0,1.0,Lowest,92.0,119.0,21.0,8.0,1970,7026.0,7447.0,625753.0
85,839 Gail Ave,Sunnyvale,94086,3,2.0,1950.0,1799000.0,7104.0,1.0,1.0,1.0,Lowest,92.0,117.0,17.0,11.0,1993,5993.0,528.0,42612.0
86,19651 Drake Dr,Cupertino,95014,3,3.0,2254.0,2098800.0,8277.0,1.0,1.0,1.0,Lowest,95.0,112.0,13.0,12.0,1962,10223.0,6081.0,444183.0
87,18833 Tuggle Ave,Cupertino,95014,4,3.0,1941.0,2995000.0,11778.0,1.0,1.0,1.0,Lowest,95.0,85.0,8.0,10.0,2021,5353.0,20403.0,1632000.0
88,1825 Worthington Cir,Santa Clara,95050,4,3.0,2717.0,2190000.0,8728.0,1.0,1.0,1.0,Lowest,92.0,137.0,32.0,31.0,2014,3502.0,20804.0,1729757.0
89,3679 De La Cruz Blvd,Santa Clara,95054,4,3.0,1865.0,1498000.0,5928.0,1.0,1.0,1.0,Lowest,91.0,79.0,7.0,2.0,1969,6272.0,8188.0,678492.0
90,2563 Crystal Dr,Santa Clara,95051,3,1.0,897.0,1280000.0,5076.0,1.0,1.0,1.0,Lowest,95.0,105.0,17.0,13.0,1954,5566.0,3353.0,275727.0
91,1851 Forest Ave,San Jose,95128,3,2.0,1622.0,1495000.0,5917.0,1.0,1.0,1.0,Low,94.0,155.0,35.0,39.0,1987,6000.0,13145.0,1023169.0
92,546 Rutland Ave,San Jose,95128,3,2.0,1707.0,1199000.0,4760.0,1.0,1.0,1.0,Low,94.0,110.0,21.0,33.0,1938,6059.0,8858.0,582409.0
93,590 Monroe St,Santa Clara,95050,5,3.0,1907.0,1988000.0,7844.0,1.0,1.0,1.0,Low,92.0,117.0,17.0,14.0,1905,10650.0,20539.0,1727812.0
94,809 Lippert Pl,Santa Clara,95050,3,3.0,1410.0,1530000.0,6264.0,1.0,1.0,1.0,Lowest,92.0,134.0,14.0,16.0,2008,997.0,11244.0,947126.0
95,3560 Mauricia Ave,Santa Clara,95051,4,4.0,2200.0,2679000.0,10543.0,1.0,1.0,1.0,Lowest,95.0,109.0,12.0,11.0,2021,6743.0,3203.0,231223.0
96,1511 Harrison St,Santa Clara,95050,3,1.0,1679.0,1000000.0,3983.0,1.0,1.0,1.0,High,92.0,124.0,23.0,14.0,1900,6425.0,582.0,36698.0
97,412 Vaughn Ave,San Jose,95128,2,1.0,752.0,815000.0,3260.0,1.0,1.0,1.0,Moderate,94.0,154.0,34.0,39.0,1930,4125.0,6653.0,416899.0
98,4882 Miramar Ave,San Jose,95129,3,2.0,1188.0,1299000.0,5151.0,1.0,1.0,1.0,Lowest,96.0,113.0,14.0,12.0,1956,5514.0,5774.0,351298.0
99,311 S Fair Oaks Ave,Sunnyvale,94086,3,2.0,1140.0,1348000.0,5342.0,1.0,1.0,1.0,Lowest,92.0,151.0,21.0,25.0,1910,5575.0,6390.0,520008.0
100,1166 Warburton Ave,Santa Clara,95050,3,2.0,880.0,1150000.0,4569.0,1.0,1.0,1.0,Low,92.0,123.0,20.0,12.0,1900,4499.0,2246.0,177090.0
101,1138 Doyle Cir,Santa Clara,95054,5,4.0,2645.0,2180000.0,8734.0,1.0,1.0,1.0,Lowest,91.0,99.0,6.0,9.0,2002,3550.0,14018.0,1177488.0
102,6571 Capri Way,San Jose,95129,3,2.0,1371.0,2000000.0,7890.0,1.0,1.0,1.0,Lowest,96.0,132.0,16.0,7.0,1957,6446.0,2343.0,78953.0
103,2643 Toledo Ave,Santa Clara,95051,3,2.0,1657.0,1688000.0,6671.0,1.0,1.0,1.0,Lowest,95.0,138.0,20.0,13.0,1954,5336.0,16044.0,1342000.0
